fold,family,model,MAPE,WMAPE,bias
1,GROCERY I,Seasonal naive,0.11564791680111718,0.12233576297880959,-0.04963437342084514
1,GROCERY I,Prophet,0.09959926370737333,0.1102331534598896,-0.04323519473013809
1,GROCERY I,XGBoost,0.15761710359058334,0.16819891028483283,-0.14855144646898516
1,MEATS,Seasonal naive,0.11021151561600954,0.1197567958855161,-0.05530294282706451
1,MEATS,Prophet,0.3101123470068676,0.2737956216920216,0.18473611704473925
1,MEATS,XGBoost,0.5950521310344581,0.5294954587101827,0.5294954587101827
1,POULTRY,Seasonal naive,0.12722361904118915,0.1507548329117486,-0.07508944374564597
1,POULTRY,Prophet,0.11043798140501515,0.13675782938737266,-0.09349850292002992
1,POULTRY,XGBoost,0.3822970958278343,0.35497495868153445,0.3233391522353497
1,PRODUCE,Seasonal naive,0.09020466911021277,0.09206456710816897,-0.013719600354656723
1,PRODUCE,Prophet,0.10884977016497455,0.12041624709815917,-0.10814872232077373
1,PRODUCE,XGBoost,0.10433876518201626,0.10905279831425904,-0.0422930253430457
2,BEVERAGES,Seasonal naive,0.12732053034299082,0.1270181285633948,0.03602371181030552
2,BEVERAGES,Prophet,0.15493837788800263,0.1336196532411687,0.08710342466226138
2,BEVERAGES,XGBoost,0.07654819851230343,0.07378719851180715,0.03148541550328505
2,BREAD/BAKERY,Seasonal naive,0.10147978691347034,0.10387221972756842,0.0318277289327777
2,BREAD/BAKERY,Prophet,0.08247395024187461,0.07861972632870477,0.05638873508000141
2,BREAD/BAKERY,XGBoost,0.14712708797816793,0.14166882704564318,0.10826382943698644
2,CLEANING,Seasonal naive,0.12642903527452945,0.15196165203292786,-0.11868601818708732
2,CLEANING,Prophet,0.08251355235321758,0.08698766417688385,-0.018186580417622618
2,CLEANING,XGBoost,0.08032228953426788,0.08492341029426739,-0.0482303851930322
2,DAIRY,Seasonal naive,0.1165827350031166,0.12565749758985126,0.030134517835100776
2,DAIRY,Prophet,0.07375533035837731,0.071488065767899,0.018342896315645323
2,DAIRY,XGBoost,0.0840667909222554,0.0862084235262053,0.07291362347845282
2,GROCERY I,Seasonal naive,0.13102568841424342,0.14113587251303175,-0.007437481132421265
2,GROCERY I,Prophet,0.0944843674791923,0.09432465996173338,0.015972790772408256
2,GROCERY I,XGBoost,0.0715731384361222,0.08074980871158066,-0.051705262641329235
2,MEATS,Seasonal naive,0.1326362981668809,0.14386888920920787,0.02302072714507645
2,MEATS,Prophet,0.08072708426557618,0.09031063085095435,-0.04161175810477871
2,MEATS,XGBoost,0.2674110614655229,0.2652810228931077,0.25254568271725325
2,POULTRY,Seasonal naive,0.12751583202951333,0.13701545423555433,0.00670782889610969
2,POULTRY,Prophet,0.07720154776492032,0.08302154902552637,-0.047582214904588215
2,POULTRY,XGBoost,0.27986982246570535,0.2831215595694465,0.27958098328138814
2,PRODUCE,Seasonal naive,0.12496873634438654,0.1295983236579832,0.04280677273792674
2,PRODUCE,Prophet,0.17294351972659738,0.15855868841405737,0.10589039677244336
2,PRODUCE,XGBoost,0.11138515933999267,0.10404700330170907,0.09451598091380856
3,BEVERAGES,Seasonal naive,0.11874940126246915,0.11877561599729035,0.06801089231703375
3,BEVERAGES,Prophet,0.10838725021412313,0.10169805965693386,0.0601419127989762
3,BEVERAGES,XGBoost,0.10533072134055498,0.10122717544615335,0.050927935710107196
3,BREAD/BAKERY,Seasonal naive,0.0567776597955866,0.05761656708035749,0.001285345308573892
3,BREAD/BAKERY,Prophet,0.11611023845799094,0.1166446769901314,0.10071780668818658
3,BREAD/BAKERY,XGBoost,0.18346645711999157,0.1862930855364343,0.17866413665388228
3,CLEANING,Seasonal naive,0.12885401965690124,0.1260393888085331,-0.005813036831894927
3,CLEANING,Prophet,0.12820098531098736,0.12587549737324075,0.007619454275637296
3,CLEANING,XGBoost,0.1406686904332693,0.13646574775263232,0.07628895552457002
3,DAIRY,Seasonal naive,0.07081657745086892,0.07195669785677257,0.01916939834699666
3,DAIRY,Prophet,0.0839955930460897,0.08330656579531939,0.045201383409996555
3,DAIRY,XGBoost,0.12403354350134525,0.13222130046319475,0.11082607748711856
3,GROCERY I,Seasonal naive,0.09585169867351448,0.09505053019537882,-0.018201588338813343
3,GROCERY I,Prophet,0.11629885548371555,0.1136567800565735,0.05108009624511924
3,GROCERY I,XGBoost,0.08835164003463437,0.0868231380901168,0.02683299551907545
3,MEATS,Seasonal naive,0.0670960360053579,0.065589609355301,-0.024179978685212284
3,MEATS,Prophet,0.08179946149045887,0.08524817165544517,-0.0453608932797582
3,MEATS,XGBoost,0.3255314958235485,0.30985416351414363,0.3076298918152702
3,POULTRY,Seasonal naive,0.08591291128212707,0.081709138314061,0.020667668180698602
3,POULTRY,Prophet,0.09950962018096922,0.09986599949931364,-0.017061792053569346
3,POULTRY,XGBoost,0.2701991535269609,0.26198496704887475,0.2618543436469685
3,PRODUCE,Seasonal naive,0.06300917331685142,0.06549709261797902,0.012283963826489932
3,PRODUCE,Prophet,0.132494658894755,0.12689757817838793,0.09866150876645605
3,PRODUCE,XGBoost,0.135654237309125,0.1293709650771123,0.11350293016442417
